股票代码,标题,作者ID,最后更新
600900,长江电力：公司将于4月30日披露《2025年年度报告》,未知,04-03 06:35
600900,永远不割，分红就补，反正是小额闲钱，干个几十年，我就不信长电还能退市？,未知,04-03 04:30
600900,历史大顶来了,未知,04-03 08:25
600900,市场只有长江电力是真的，三峡农业只值2.50元，还有多少可以下跌，你们自己去算，,未知,04-03 05:03
600900,长江电力的股东数较去年低点快翻倍了，而且总数为神华的三倍神华涨那么多，最近的股东,未知,04-03 04:57
600900,买这玩意还不如买银行,未知,04-03 11:25
600900,据说安徽休宁里庄抽水蓄能电站已经核准延期了，现在已经4月份了，请问上半年会有一个,未知,04-03 06:28
600900,尊敬的董秘，您好！ 1、请问贵公司是否已经建立财务共享中心？哪年建立的？ 2、财,未知,04-03 06:28
600900,请问葛洲坝船闸，目前是否有电价补偿？或者有其他的政府补偿？,未知,04-03 06:15
600900,去年下半年北向资金减持长电4.27亿股，公募基金减持3.28亿股，合计7.55亿,未知,04-03 03:31
600900,头一次买，都说他安全,未知,04-03 05:19
600900,空头趋势,未知,04-03 05:29
600900,月线kdj已经金叉，此时至少应该买入5成仓,未知,04-03 10:49
600900,要是跟着2007-2014年走，那还得跌,未知,04-03 04:36
600900,还有人头铁吗？说了12才有投资价值，股息8%才是合理区间，现在明显高估，还要死拿,未知,04-02 10:14
600900,这个股涨的关键点在于下一个董事长,未知,04-03 04:33
600900,节日后再杀一次基本上到底了,未知,04-03 04:27
600900,明天是不是还要跌一次！,未知,04-03 12:51
600900,叫你们管好家人，拥有长江电力。远离股市，我的话不听，股票是要分红的，永远分红。,未知,04-03 11:35
600900,有种st,未知,04-03 04:23
600900,长电已经开始下坡路了,未知,04-03 02:59
600900,长江26支撑位稳如泰山，大家大胆加仓！记住大盘上5000点，长江是主力！,未知,04-03 02:45
600900,自动扣款机,未知,04-03 03:40
600900,说白了，无非就是打压权重，杀恐慌盘的戏码罢了,未知,04-03 03:05
600900,长江也开始走下坡了！,未知,04-03 03:03
600900,第一次买,未知,04-03 02:55
600900,谁今天卖岀rnm,未知,04-03 02:34
600900,怎么进来那么多小散，有大咖开讲座了吗，不要过日子啦？,未知,04-03 02:43
600900,乐山电力，闽东电力，广西能源全躺地板。看着烦,未知,04-03 02:40
600900,怎么织布机啊,未知,04-03 02:40
600900,#复盘记录#,未知,04-03 02:39
600900,25买点,未知,04-03 02:18
600900,管住手，再下来一些,未知,04-03 02:23
600900,业绩分红比它好得多的电力股都跌成句了，它只是刚刚开始而已,未知,04-03 02:10
600900,走势明显不对呀，高股息为什么会走成这个样子？是不是有我不知道的事啊？这K线图一看,未知,04-03 02:15
600900,看不明白了,未知,04-03 02:11
