页码,标题,作者,时间
1,从30多跌到18块多，好像跌了不少，要知道它是从10块涨上来的，记得之前股价只有,未知,04-04 10:21
1,券商板块成为了社保基金四季度最明显的进攻阵地！不信？可以自己妙想一下，也可以豆包,未知,04-04 11:55
1,4.7至少跌3-5个点,未知,04-04 03:58
1,重要信号：证券指数周线十连跌 创历史新纪录！估值处于历史低位,未知,03-27 04:58
1,我一个空仓半个月的，就喜欢在这个吧玩，涨跌无所谓，热闹，最热闹的吧，没有之一,未知,04-04 04:00
1,月线七连阴，如果是牛市，那至少会回到前高附近，如果是熊市，也会有暴力反弹，已经这,未知,04-04 06:44
1,地量地价，底部振荡，想18.18抄底，主力不会让小散占便宜。,未知,04-04 01:44
1,人气这么高要涨停？,未知,04-04 03:26
1,复盘本轮下跌趋势中，散户最可能抄底的点位2/2号22.53/5号21.014/3,未知,04-04 02:26
1,满仓干了，赌一把,未知,04-04 03:39
1,今天,未知,04-04 01:17
1,东财这波从9快多拉到31，已经主力赚麻了。现在又和之前一样一路阴跌派发筹码，可怜,未知,04-04 06:05
1,9块见底,未知,04-04 08:12
1,这玩意如果下周把去年4月份的18.12破了，直接走,未知,04-04 10:16
1,有资深经验的老手出来说说，这几个月相较924行情之前几个月对比怎么样？是不是算不,未知,04-04 01:38
1,这个月很拉胯，对不起大家，小诸葛有愧,未知,04-04 10:57
1,此股当前处于250亿融资盘主动去杠杆过程中，下跌趋势不会扭转，但主动去杆杆比被打,未知,04-02 12:19
1,去年第一批询价转让的1.588亿股份解禁日是今年1月24日。至今股价下跌百分之2,未知,04-04 10:40
1,东方财富的基金持有情况较为分散，但部分指数型ETF基金持股比例较高。根据2025,未知,04-04 02:46
1,假如IPO当天买入持有至今那岂不是发财了？早就财务自由了吧？,未知,04-04 02:25
1,4月7号基金解禁赛跑啦，减持的亏损已超过20%，必须平仓，预估开盘跌三个点，然后,未知,04-04 12:08
1,量化一限制最直接利空券券！毋庸置疑！！,未知,04-04 12:26
1,明明看不懂这个公司的股票，确想靠这个公司的股票赚钱,未知,04-03 05:17
1,我在山顶，30的本。一股不卖。60见,未知,04-03 09:41
1,今年必然回到8元,未知,04-03 11:36
1,你这话20多的时候就有人说过了,未知,04-04 12:06
1,这里面有几个高手跌破20元，赿跌越买，现在仓位应该是很重了,未知,04-04 12:01
1,这才叫重合度,未知,03-27 02:12
1,我也一样,未知,04-04 11:26
1,这个走势等大跌吧,未知,04-04 11:25
1,战友们，我要来抄底了，破18毫不犹豫，买5层，17梭哈，35跑路，哈哈，爽,未知,04-04 07:52
1,狂赚2194亿元股价却跌得“头疼”！2025券商业绩爆表背后 4月抄底还是跑路？,未知,03-30 08:17
1,从机构关注度来看，近六个月累计共18家机构发布了东方财富的研究报告，预测2026,未知,04-02 04:16
1,M顶成立，券商往往是先锋部队。,未知,04-04 09:43
1,东方财富:2026年4月3日投资者关系活动附件之2025年度网上业绩说明会实录,未知,04-03 09:13
1,握草，证券还没牛呢就没了,未知,04-04 10:11
1,看了这个走势，只能感叹，从来没变过，散户永远觉得这次不一样，投资选择大于努力，还,未知,04-04 10:14
1,下周反弹开始，今天收盘所有周期，包括月线wr都是100.周线，各个wr都是100,未知,04-03 05:12
1,卖就卖了，我就不信连跌了九个月的票，我一卖就涨,未知,04-04 09:42
1,中信东财股东们，我是阿牛。你是谁？,未知,04-04 08:24
1,超卖区的价格在17块钱出头，真狠。支撑直接砸破,未知,04-04 09:03
1,兄弟们，还记得12元的吗？我是记忆犹新了,未知,04-04 08:55
1,有啥利空嘛？,未知,04-04 08:13
1,有本事跌回12元我再加30手,未知,04-04 08:09
1,总不会跌回16.8吧？,未知,04-03 11:54
1,国联民生，秒板助攻板块,未知,04-03 11:58
1,下定决心了，打算节后清仓，历史上每次都是一卖就涨，不知道这次会不会也这么点背。如,未知,04-03 06:50
1,人性最大的恶就是贪婪，明知道这是底部，还想要逼投资者割肉出局，自己默默建仓抢筹。,未知,04-03 09:58
1,就看4月10号以后的外围，大A在那个时候会开始脱敏，脱敏后券商就会拉指数了。,未知,04-03 11:56
1,10块钱指日可待。,未知,04-04 08:00
