股票代码,页码,标题,时间
300001,1,k线不规律，涨时你不发表评论，跌你就出来博存在，你都说了不看好清仓了，还在这干嘛,04-03 05:48
300001,1,利好特锐德，巩固龙头地位，加速出清。,04-04 07:54
300001,1,加仓，是壳到底,04-03 04:02
300001,1,这股的融资盘肯定不是中长线，因为可能挣的都不够付利息的,04-04 11:34
300001,1,特锐德赴港上市,03-30 10:20
300001,1,大家都亏，不叫亏。,04-03 09:50
300001,1,不行就清仓，都别骂了，4800只股票一个月的走势都一样，而且有一半的股票跌了一个,04-03 09:50
300001,1,早点倒闭,04-03 09:34
300001,1,20以下搞搞还行,04-03 07:01
300001,1,$特锐德(SZ300001)$,04-03 07:01
300001,1,昨天跑了，买了恒为科技，特锐德亏的，在那边补回来了,04-03 05:58
300001,1,这位置又有不少人跑路了,04-03 09:25
300001,1,k狗在合盛硅业，迈瑞医疗亏的惨不忍睹？,04-03 02:55
300001,1,赶紧撤吧，最后的逃跑机会，下周年报一出，直接跌停。,04-03 02:49
300001,1,一个月跌了30个点，一点都没回头,04-03 02:39
300001,1,跌了30个点毫无反弹迹象………威腾电气20CM封板永远不会出现在特锐德身上，太惨,04-03 11:13
300001,1,反正你上不去就不能下个25吗顺带补补去年缺口啥的,04-03 02:14
300001,1,“A+H”股热潮延续！1月累计18家A股上市公司筹划赴港上市，矿业龙头兴业银锡在列,02-01 07:30
300001,1,破了924以来的趋势，就是破了此叙事逻辑。,04-03 01:24
300001,1,开盘就跑果然对,04-03 12:21
300001,1,这么惨烈的下跌，窝草,04-03 12:18
300001,1,只跌不涨，跟去港ipo有关系吗,04-03 10:37
300001,1,26元以下加仓等年报,04-03 11:40
300001,1,自动删除骂人的话！你设计好,04-03 11:25
300001,1,要跌，就爽快点,04-03 11:24
300001,1,特锐亏到连妈都认不得,04-03 11:12
300001,1,为什么不能,04-03 11:08
300001,1,这熟悉的配方又来了,04-03 09:56
300001,1,24等你，进半仓,04-03 10:42
300001,1,天天跌,04-03 10:25
300001,1,老子在250线等你,04-03 10:25
300001,1,踩准节奏，一起玩转特锐德。别痴情，放弃一厢情愿。,04-03 10:21
300001,1,板块最拉圾,04-03 10:19
300001,1,特锐德：融资净买入203.69万元，融资余额15.94亿元,04-03 09:03
300001,1,现如今的形势没有什么朝阳行业了，明天全换成你，锁仓半年，输了认输销户！,04-02 11:20
300001,1,a股一直如此，越是业绩好，越是跌。看看大连重工，订单做不完，业绩前天就报出来增长,04-03 04:27
300001,1,又中标了。哈哈哈哈哈,04-03 12:59
300001,1,特锐德：预中标预制舱变电站项目,04-01 07:11
300001,1,5线炸菊花，不信邪的拿几个月，不腰斩才怪！,04-02 11:06
300001,1,福田汽车：公司与宁德时代、亿纬锂能分别成立合资公司，开展新能源电池经营性租赁业务,04-02 03:49
300001,1,$特锐德(SZ300001)$,04-02 08:32
300001,1,此时不买更待何时？很难有这种机会存在了。回调敢于出手，静候佳音即可。,04-02 02:21
300001,1,走了，这个公司今年信誉和资产计提减值,04-01 11:14
300001,1,天时地利，这油价欧洲市场不去搞一下,04-02 05:40
300001,1,你还是别去谈合同了中标没好事,04-02 04:02
300001,1,中标如中炮，天天中，天天被炮击,04-02 03:54
300001,1,31.5元进的，亏惨了,04-02 03:52
300001,1,"明年此时st,后年退市。充电桩是第二个房地产行业！跌到1块钱都不能抄底，因为3板",04-02 02:20
300001,1,中镖小能手,04-02 03:08
300001,1,加了点，主力让吃肉不,04-02 02:15
300001,1,特锐德公司你们难道做的是亏本工程？怎么一中标就下跌。,04-02 11:27
300001,1,无量，没有资金看好,04-02 02:22
300001,1,左右这样倒，累不累，不要成本吗？,04-02 02:21
300001,1,这货今天又可以入了继续游击战，薅庄家羊毛,04-01 02:44
300001,1,连续两天跌停年报不及预期,04-02 01:57
300001,1,从高点已经回调33%,04-02 02:09
300001,1,250日线满融接,04-02 02:15
300001,1,这股一中标第二天就大跌,04-02 10:31
300001,1,一万个,04-02 01:52
300001,1,每次下跌你都是第一名,04-02 01:36
300001,1,上涨没有你，下跌你不落后,04-02 01:47
300001,1,年报业绩不及预期，年报第二天又会跟去年一样暴跌十几个点,04-02 01:34
300001,1,千亿龙头涨停，“三天两头接订单”中国证券报23分钟前你真是个笑话,04-02 12:50
300001,1,特锐德庄家应该改名叫特不靠谱了，差价你也做了，明天再不拉说明真有问题。,04-02 01:24
300001,1,我求求你了，破产了，每次中标都下跌，还有天理吗,04-02 10:45
300001,1,目标25.3附近,04-02 12:15
300001,1,一说利好赶紧跑,04-02 11:38
300001,1,中标，天天中镖,04-02 11:33
300001,1,我卡里留好了3100块，继续,04-02 11:29
300001,1,签2亿爹2个点，合理！,04-02 11:23
300001,1,1人抄底，百人抄你下三路,03-30 10:11
300001,1,从周线月线看，只要财报不拉胯，差不多也快到底了,04-02 11:18
300001,1,标题不错，就是股价不行,04-02 10:52
300001,1,报复性反弹开启！,04-01 08:58
300001,1,同样是储能，你看看新中港，格局啊,04-02 10:33
300001,2,估计和阳光电源一样的走势,04-02 01:41
300001,2,带特都不行,04-02 01:35
300001,2,继续跌啊，拿了3年，我18的本，拿不住的就走，我看到100,04-02 11:16
300001,2,做个人吧,04-02 10:10
300001,2,真垃圾,04-02 10:25
300001,2,中标如中枪，从不爽约。!!!,04-02 10:15
300001,2,年报不及预期吗？,04-02 10:01
300001,2,主要还是没资金看上，这个老庄吃像难看,04-02 10:22
300001,2,真踏马垃圾股，,04-02 09:54
300001,2,量化全,04-02 09:52
300001,2,特锐德：关于预中标预制舱变电站项目的提示性公告,04-01 10:08
300001,2,说什么我也不信这种走势的股票短期内能起得来！最少还得跌一个月！,04-02 09:53
300001,2,各位有情怀的股东们，给你们打打鸡血…………以前发中标消息时，第二天基本上都是下跌,04-02 01:20
300001,2,毒标……曹了,04-02 09:35
300001,2,新能源汽车大福回升，高层考察绿电，你还没点数嘛,04-02 08:12
300001,2,特锐德:关于项目预中标的提示性公告,03-30 06:11
300001,2,又中标2个亿，算了一下，平均一天一个亿,04-01 05:50
300001,2,特锐德：融资净偿还75.11万元，融资余额15.92亿元,04-02 08:53
300001,2,特锐德:关于预中标预制舱变电站项目的提示性公告,04-01 05:33
300001,2,明天涨停,04-01 08:26
300001,2,3月以来，全国多地公共充电桩价格波动，热门点位高峰时段电价涨幅大，引发全网热议。,04-01 11:46
300001,2,充电桩涨价潮来袭？呵呵了,04-01 08:42
300001,2,三四月份历来是特锐德最艰难的时段，特锐德能够改写这个宿命吗？,03-29 09:15
300001,2,我就看着你不相信你不涨,04-01 09:47
300001,2,总资产250亿市值才这么点,04-01 08:41
