股票代码,标题,作者ID,最后更新
300059,东方财富已经跌到去年4月7号的低点，当时大盘3000点，现在大盘3900点，整个,未知用户,04-02 09:35
300059,这个票有爆仓或者强平的吗？,未知用户,04-02 07:45
300059,上次说的股价18.6以上才能看多，企稳也要3天站上5日线才好，,未知用户,04-02 09:43
300059,令人绝望，跌这么多,未知用户,04-02 09:42
300059,朋友们，18.18元能止跌吗，我准备筹集10万元资金补仓，这个位置会跌到吗,未知用户,04-02 09:41
300059,股吧各种股神,未知用户,04-02 09:30
300059,看看2024年9月启动时是什么位置！一波拉高一路阴跌,未知用户,04-02 09:36
300059,抄底还早得很,未知用户,04-02 09:36
300059,明天开盘不计成本出逃，直接比开盘低两个点挂卖单,未知用户,04-02 09:26
300059,明天15,未知用户,04-02 08:23
300059,自求多福吧,未知用户,04-02 09:23
300059,曾经我在10元以下唱叫大家买买买，然后涨了三倍，现在我又来说下跌空间还有，观望为,未知用户,04-02 05:48
300059,又是四千多只股票待涨，这种行情，你有信心鸽了阿财买别的股就一定能赚钱？还是老老实,未知用户,04-02 03:58
300059,风险很大，而且是连锁性的。。还没清仓的保重吧！,未知用户,04-02 08:53
300059,北向资金天天卖，外资都不看好，内资也在跑路，没资金托底，股价只能一路向南,未知用户,04-02 08:51
300059,明天涨停最后通知,未知用户,04-02 08:51
300059,这个时候不要想着抄底，不要补仓,未知用户,04-02 08:46
300059,什么时候可以买,未知用户,04-02 08:38
300059,下面的兄弟，为什么要买他，这么多票,未知用户,04-02 08:42
300059,又向9.81靠近一步，希望今年能看到,未知用户,04-02 08:41
300059,A股三大指数收报：3919.29，13486.94，3172.65。沪深京三市成,未知用户,04-02 08:37
300059,什么时候割都是对的。,未知用户,04-02 08:19
300059,狂赚2194亿元股价却跌得“头疼”！2025券商业绩爆表背后 4月抄底还是跑路？,未知用户,03-30 08:17
300059,4月17前股价跌破17，有赌的吗,未知用户,04-02 03:04
300059,会跌破18.12吗？,未知用户,04-02 08:02
300059,逆势投资不容易，因为人们要求的明日下周见效，满地股票都在大幅度反弹，今天感觉错过,未知用户,03-24 07:39
300059,破18.83底部强背离,未知用户,04-02 12:53
300059,有一个假的静神冒充我，我从24年8月开始9快多开始买买买，现在东财又开始阴跌了，,未知用户,04-02 06:44
300059,进来就亏了，稳住，稳住。,未知用户,04-02 08:21
300059,入场好机会大跌之时买1手不知道底所以要谨慎，资金是有限的，套深了就不能玩了,未知用户,03-04 11:26
300059,亏麻了，必须打持久战，21.69的成本，估计年内难回本,未知用户,04-02 08:16
300059,发个批评的评论还不行，呵呵,未知用户,04-02 08:15
300059,高位30元，可能调到月线90均线股16元以下止跌,未知用户,04-02 08:18
300059,整整过去5年。这个战绩还算可以吧？历史帖子可查证。东财的朋友不要灰心，以我的经验,未知用户,04-02 04:43
300059,东财2024从10元炒起来的，炒了一整年，可以让庄家吃三年了，去年又派发一年，庄,未知用户,04-02 08:09
300059,@东方财富核心数据（截至2026-02-28，官方披露）A股股东总户数（≈散户户,未知用户,04-02 08:09
300059,23块多买的，一路补，一路跌，涨起来三瓜两枣，跌起来倒是丝滑，业绩不差，把价值投,未知用户,04-02 07:00
300059,应该要到16块附近了！,未知用户,04-02 07:41
300059,千万别割在最低点，已经是极限了，准备每跌5％加10万，你们不割肉大家就一起耗着,未知用户,04-02 07:13
300059,我是大学生，让我解套一下,未知用户,04-02 07:35
300059,账户里只剩下两只票，东财和三鑫，也想好了应对策略。东财这一波下跌回到去年4月7日,未知用户,04-02 07:00
300059,100%套牢盘，啥情况,未知用户,04-02 08:02
300059,基金接的那部分马上到期，到期风控必须止损，超过20%了，融资盘得爆,未知用户,04-02 03:37
300059,电脑关了，2027年7月7日再看。届时千万富翁等你！,未知用户,04-02 11:09
300059,旭日升朝阳起的帖子全部删除了？,未知用户,03-16 10:54
300059,看看我去年三月份的观点吧！在大家都绝望的时候，本人坚信牛市才刚刚开始，尽管因为人,未知用户,03-22 08:58
300059,券商提前减持套现，都在创新低，还是券商看的清楚，市场形势还会继续打破前低，,未知用户,04-02 07:37
300059,抄底价18.94元，赔了，这又怎样，有本事一辈也到不了20元。,未知用户,04-02 07:33
300059,今天抄底了,未知用户,04-02 07:31
300059,宁德时代等高位大票还在去年2月底的位置，后面1个月多月是最危险的，特别是证券电力,未知用户,04-02 07:13
300059,13.45分果断割肉，抄底次新股，有本事明天不要涨，不然加仓顺丰不要你了,未知用户,04-02 05:59
300059,我明天进场试一铬铁，18.7先开5000股,未知用户,04-02 07:03
300059,20260402,未知用户,04-02 07:12
300059,证券板块最厉害的龙头都如此走法，其他的就忽略不计了，根本没有必要了。估计东方财富,未知用户,04-02 03:03
300059,就这么一张破纸3300，让我损失了上百个w，我真的眼瞎啊！这个吹88倍亿纬锂能吹,未知用户,04-02 01:06
300059,跌这么多还有人觉得是牛市？？,未知用户,04-02 05:17
300059,到了9块就清场，随便跌吧,未知用户,04-02 06:57
300059,弄下来老鲨鱼又再整点相因的便宜筹码！继续弄！,未知用户,04-02 01:50
300059,13.3再来,未知用户,04-02 06:54
300059,量化之所以有差价因为技术派有很明显的规律，而基本面同样是，大家觉得盈利好这就是规,未知用户,03-26 01:52
300059,流的太多了，流一地！,未知用户,04-02 06:27
300059,即将大阳,未知用户,04-02 06:05
300059,指出今天出现了在缺口位置，选择了向下的一个回踩，3900点关口很重要，明天，和下,未知用户,04-02 06:40
300059,炒股只为回本,未知用户,04-02 06:37
300059,还幻想不？,未知用户,04-02 06:36
300059,股息率才0.5，东吴证券4.7东方还有的跌,未知用户,04-02 06:19
300059,静神呢快出来安慰下要受不鸟了从29唱多到18这周要到17？,未知用户,04-02 06:19
300059,我感觉到一股极强的杀气，4.7号带头重演？,未知用户,04-02 06:22
300059,【今年3月A股新开户数460.14万户,未知用户,04-02 06:27
300059,今天走的完全符合预期，明天方向是继续回拉，月线收回五日线，季线收为高位十字星，形,未知用户,03-30 03:06
300059,台阶为18—16.86—15，,未知用户,04-02 06:25
300059,估计要跌到15左右，大家安心等待吧。10元涨到30元，30元跌到15，然后再涨，,未知用户,04-02 06:10
300059,22的本，还要坚持吗？,未知用户,04-02 06:16
300059,更大的暴风雨还没来呢，接下来几个大的风险点都在一步步靠近,未知用户,04-02 06:13
300059,拾伍才是合理价值,未知用户,04-02 05:50
300059,上交所数据显示，2026年3月A股新开户460.14万户，环比增长82.38%，,未知用户,04-02 05:32
300059,越来越低了,未知用户,04-02 05:50
300059,18满仓抄底，放半年！,未知用户,04-02 04:28
300059,东方财富粉碎机，18.80虚挂两万手托单真杀到了瞬间撤单并且托单转卖单，18.8,未知用户,04-02 04:43
300059,北斗星通炒了很多年，几次大的赢利，最近60+以上清仓了，一周前开始喊大家分批建仓,未知用户,04-02 05:36
300059,东财月线打开真没有跌过8个月的，已经套牢上顶了，只能等下个牛市了，不急用钱的不用,未知用户,04-02 05:32
300059,看香港证券尾盘5分钟的放量跳水，明天券商又了,未知用户,04-01 05:23
300059,历史总是惊人的相似，券商小牛市后必定大熊市，大家可以参考2009年小牛市后的20,未知用户,04-02 03:28
300059,从29.36跌到18.75，跌了快40%了，还没止跌信号,未知用户,04-02 04:42
300059,这轮牛市证券跌的有点多,未知用户,04-02 05:13
300059,31-18.75=12.25，2.25/31=0.3951613，已回撤39.5,未知用户,04-02 04:48
300059,真惨啊！从来没有过！,未知用户,04-02 05:23
300059,券商向来不破不立，不破18.12就一手都别买。,未知用户,04-02 05:21
300059,管住手，严格执行！,未知用户,04-02 03:26
300059,连续跌了8个月，该股是否已经进入了技术性熊市？哪位大神点拨指导分析一下？,未知用户,04-02 05:06
300059,跳大神的还有吗？继续杀,未知用户,04-02 05:14
300059,今天会高开低走,未知用户,04-01 08:07
300059,每天晚上来看技术分析，但是我不买,未知用户,04-02 05:12
300059,九连阴吧,未知用户,04-02 05:11
300059,欲哭无泪,未知用户,04-02 05:11
300059,羡慕你们，天天拿着亏钱就行了，不用想着买哪个科技，哪个医药赚钱,未知用户,04-02 01:22
300059,28的还能回去吗？巅峰了吧,未知用户,04-02 03:47
300059,18.18的黄金分割点，耐心等待,未知用户,04-02 10:18
300059,兄弟们都开通融券吧，百万散户,未知用户,04-02 04:32
300059,成交量一天比一天低，根本没资金愿意进场，就靠散户互相割，阴跌磨底的日子还长着呢,未知用户,04-02 04:57
300059,从机构关注度来看，近六个月累计共18家机构发布了东方财富的研究报告，预测2026,未知用户,04-02 04:16
300059,股吧里全是骂声，100多万散户全被套牢，情绪彻底冰点，没人敢买，股价只能阴跌。,未知用户,04-02 04:33
300059,割了，25.8的成本，实在是扛不住了,未知用户,04-02 03:24
300059,每天都有近20%净流出，机构牛逼,未知用户,04-02 04:50
300059,简单按上一波跌幅量度，可以看16附近的支撑力度,未知用户,04-02 04:49
300059,空头动能完全没衰竭，这时候进场就是送钱，等金叉再说吧兄弟们。,未知用户,04-02 04:31
300059,现在全是存量资金博弈，根本没增量，东财这么大的盘子，没大资金拉，只能慢慢磨,未知用户,04-02 04:39
