代码	    名称	市盈(动)	市净率	总市值
SZ300001	特锐德	31.41	3.58	28710626000
SZ300002	神州泰岳	22.97	2.4	18334060000
SZ300003	乐普医疗	22.81	1.93	29863024000
SZ300004	南风股份	141.2	3.54	6297516000
SZ300005	探路者	298.9	6.28	13167162600
SZ300006	莱美药业		3.01	5279556000
SZ300007	汉威科技	122.4	4.76	13844401000
SZ300008	天海防务	43.61	5.39	13012059400
SZ300009	安科生物	21.48	3.47	15793981000
SZ300010	豆神教育	104.4	7.16	12771666200
SZ300011	鼎汉技术	289	3.16	4935276400
SZ300012	华测检测	23.11	3.04	23492282000
SZ300013	新宁物流		10.97	2149681700
SZ300014	亿纬锂能	31.22	3.07	1.29073E+11
SZ300015	爱尔眼科	21.35	3.95	88684522000
SZ300016	北陆药业	95.56	2.55	5628731600
SZ300017	网宿科技	50.6	4.1	41564701000
SZ300018	中元股份	40.33	4.37	6052134100
SZ300019	硅宝科技	26.61	2.74	7410249800
SZ300020	ST银江		1.24	3321753900
SZ300021	大禹节水	302.5	1.77	4467745800
SZ300022	吉峰科技		8.69	4621147600
SZ300024	机器人		5.36	23030269000
SZ300025	华星创业		4.93	2655899100
SZ300026	红日药业	98.76	1.23	10634708100
SZ300027	华谊兄弟		16.97	4466954500
SZ300029	*ST天龙			996517310
SZ300030	阳普医疗	73.97	3.76	2371466700
SZ300031	宝通科技	30.62	2.1	8525682700
SZ300032	金龙机电	116.8	6.69	4618225200
SZ300033	同花顺	50.07	16.91	1.60474E+11
SZ300034	钢研高纳	165	3.81	14425004000
SZ300035	中科电气	27.97	3.06	14983427000
SZ300036	超图软件	130.1	2.77	7450631200
SZ300037	新宙邦	38.59	3.92	42340902000
SZ300039	上海凯宝	24.7	1.36	6160940000
SZ300040	九洲集团	81.48	1.83	4684028000
SZ300041	回天新材	20.46	2.04	5890847100
SZ300042	朗科科技		8.34	8356680000
SZ300043	星辉娱乐	22.36	3.85	6743555300
SZ300044	ST赛为		82.78	5950541300
SZ300045	华力创通	1152	8.98	14419813000
SZ300046	台基股份	94.39	6.24	7133786100
SZ300047	天源迪科	246.1	2.3	7557274400
SZ300048	合康新能	120.6	4.11	7480611500
SZ300049	福瑞医科	99.57	7.76	15342105000
SZ300050	世纪鼎利	225	8.52	3487019000
SZ300051	琏升科技		28.1	4531175500
SZ300052	ST中青宝		8.57	3239192200
SZ300053	航宇微		6.92	11770207300
SZ300054	鼎龙股份	64.9	9	46739722000
SZ300055	万邦达	281.5	1.82	9379963100
SZ300056	中创环保		22.36	3299798200
SZ300057	万顺新材		1.17	6041803500
SZ300058	蓝色光标	203.7	6.7	53135274000
SZ300059	东方财富	24.7	3.25	2.98538E+11
SZ300061	旗天科技		10.19	5337848800
SZ300062	中能电气	772.6	3.86	5266276400
SZ300063	天龙集团	59.44	5.06	8791329700
SZ300065	海兰信	321.4	9.71	17057186000
SZ300066	三川智慧	33.61	2.47	6448206200
SZ300067	安诺其		1.98	4952266900
SZ300068	南都电源		3.05	11714709600
SZ300069	金利华电	255	8.73	2466360000
SZ300070	碧水源		0.518	14098174000
SZ300071	福石控股		34.5	4838699400
SZ300072	海新能科	157.8	2.02	12195048400
SZ300073	当升科技	44.21	1.9	27954923000
SZ300074	华平股份		2.34	2315868800
SZ300075	数字政通		2.23	7788972200
SZ300076	GQY视讯		2.95	2654240000
SZ300077	国民技术		7.75	13569315000
SZ300078	思创智联		7.64	4415595300
SZ300079	数码视讯	227.2	1.77	7458126800
SZ300080	易成新能		1.93	9329434600
SZ300081	恒信东方		2.62	2788106900
SZ300082	奥克股份		2.61	7147832100
SZ300083	创世纪	27.35	2.34	12686252900
SZ300084	海默科技		4.39	5480443100
SZ300085	银之杰		52.95	26520219000
SZ300086	康芝药业		3.57	3745673900
SZ300087	荃银高科		4.39	7644967200
SZ300088	长信科技	38.65	1.68	14711651000
SZ300091	*ST金灵		20.5	8497714800
SZ300092	科新机电	65.42	2.56	4188286800
SZ300093	*ST金刚			10449000000
SZ300094	国联水产		3.48	3587571900
SZ300095	华伍股份	72.18	2.37	3965651100
SZ300096	ST易联众	66.89	9.65	3384100000
SZ300097	智云股份		5.85	2221832500
SZ300098	高新兴	106.8	3.33	9053845700
SZ300099	尤洛卡	33.64	2.58	6163537500
SZ300100	双林股份	34.06	5.31	17142329000
SZ300101	振芯科技	92.74	6.22	11471695100
SZ300102	乾照光电	259.2	6.91	29717580000
SZ300103	达刚控股		4.58	2229559000
SZ300105	龙源技术	69.44	1.81	3486905500
SZ300106	西部牧业		5.46	2104869800
SZ300107	建新股份	494.4	2.62	3939475900
SZ300109	新开源	30.88	2.24	8280309800
SZ300110	华仁药业	51.01	2.74	3712148800
SZ300111	向日葵	2979	7.54	5187459200
SZ300112	万讯自控		2.27	2255055200
SZ300113	顺网科技	41.85	7.15	18066652000
SZ300115	长盈精密	70.77	5.1	42432424000
SZ300118	东方日升		1.74	18308623000
SZ300119	瑞普生物	20.23	1.72	8100674500
SZ300120	经纬辉开		1.48	4405601400
SZ300121	阳谷华泰	26.22	1.46	5173627600
SZ300122	智飞生物		1.22	35811095000
SZ300123	亚光科技		4.41	6488646700
SZ300124	汇川技术	31.98	5.27	1.81384E+11
SZ300125	*ST聆达	283.4	5.47	5759602400
SZ300126	锐奇股份		2.31	2340473500
SZ300127	银河磁体	51.75	6.07	9196745400
SZ300128	锦富技术		11.71	7742727900
SZ300129	泰胜风能	48.38	2.43	13971551000
SZ300130	新国都	27.54	2.93	12911728000
SZ300131	英唐智控	371.6	7.31	12916521700
SZ300132	青松股份	30.44	3.19	4494253700
SZ300133	华策影视	58.14	1.87	13576668000
SZ300134	大富科技		2.02	7690330000
SZ300135	宝利国际		3.77	3566592000
SZ300136	信维通信	96.9	8.19	62853259000
SZ300137	先河环保	924.2	4.18	6819959900
SZ300138	晨光生物	15.85	1.72	5845511100
SZ300139	晓程科技	159	14.69	16278340000
