代码	    名称	市盈(动)	市净率	总市值
SH688001	华兴源创	167.1	3.91	13463597000.00 
SH688002	睿创微纳	42.35	7.02	46596694000.00 
SH688003	天准科技	144	5.62	11315282700.00 
SH688004	博汇科技		2.94	1741914000.00 
SH688005	容百科技		2.53	20248173000.00 
SH688006	杭可科技	41.13	2.99	16214634000.00 
SH688007	光峰科技		2.53	6204811100.00 
SH688008	澜起科技	68.49	7.66	153117220000.00 
SH688009	中国通号	16.32	1.27	60150172000.00 
SH688010	福光股份	354.3	2.57	4497329800.00 
SH688011	新光光电		6.45	6810000000.00 
SH688012	中微公司	90.86	8.45	191838400000.00 
SH688013	天臣医疗	35.87	5.34	3016553700.00 
SH688015	交控科技	27.46	1.6	4271732000.00 
SH688016	心脉医疗	22.22	3.07	12516035400.00 
SH688017	绿的谐波	274.7	9.7	34312066000.00 
SH688018	乐鑫科技	49.34	5.51	24563337000.00 
SH688019	安集科技	55.59	11.95	43867595000.00 
SH688020	方邦股份		5.03	6690335100.00 
SH688021	奥福科技	137.5	2.21	1929446400.00 
SH688022	瀚川智能	69.92	3.63	2474608000.00 
SH688023	安恒信息		2.04	4817459400.00 
SH688025	杰普特	72.79	8.83	20293052000.00 
SH688026	洁特生物	47.8	1.9	2304782500.00 
SH688027	国盾量子	10166	16.89	54814627000.00 
SH688028	沃尔德	136.3	6.47	12844250400.00 
SH688029	南微医学	23.78	3.3	13556948000.00 
SH688030	山石网科		3.69	2631442800.00 
SH688031	星环科技-U		19.47	16789438000.00 
SH688032	禾迈股份		2.68	15486860000.00 
SH688033	天宜新材		3.12	4548186600.00 
SH688035	德邦科技	73	3.27	7683804800.00 
SH688036	传音控股	24.47	3.08	63142472000.00 
SH688037	芯源微	471.2	12.1	33784670000.00 
SH688038	中科通达		3.82	2269281300.00 
SH688039	当虹科技		4.22	4499265900.00 
SH688041	海光信息	192.2	21.72	488715330000.00 
SH688045	必易微	245.3	2.11	2962520300.00 
SH688046	药康生物	41.11	2.66	5936800000.00 
SH688047	龙芯中科		20.89	52350550000.00 
SH688048	长光华芯	1860	12.08	36313668000.00 
SH688049	炬芯科技	38.07	3.81	7787953700.00 
SH688050	爱博医疗	37.79	3.6	10029888700.00 
SH688051	佳华科技		3.93	2322340000.00 
SH688052	纳芯微		2.51	24048753000.00 
SH688055	龙腾光电		3.16	12833333600.00 
SH688056	莱伯泰科	58.51	2.82	2304176000.00 
SH688057	金达莱	34.21	1.04	3284400000.00 
SH688058	宝兰德		3.29	2085505000.00 
SH688059	华锐精密	59.43	6.43	11098531200.00 
SH688060	云涌科技		2.86	2580978400.00 
SH688061	灿瑞科技		1.45	3400726000.00 
SH688062	迈威生物-U		41.17	14389596000.00 
SH688063	派能科技	216.9	1.99	18247367000.00 
SH688065	凯赛生物	63.05	2.01	35667780000.00 
SH688066	航天宏图			5136721000.00 
SH688067	爱威科技	61.69	3.47	1785680000.00 
SH688068	热景生物		4.55	11338181100.00 
SH688069	德林海	34.59	2.58	3472490000.00 
SH688070	纵横股份	384.9	6.47	4111005200.00 
SH688071	华依科技		2.59	2656462100.00 
SH688072	拓荆科技	112.4	15.8	104467614000.00 
SH688073	毕得医药	33.08	2.46	5034915300.00 
SH688075	安旭生物	64.47	0.915	4731292800.00 
SH688077	大地熊	54.26	2.83	3114960100.00 
SH688078	龙软科技		2.64	1781504900.00 
SH688079	美迪凯		3.86	4932469900.00 
SH688080	映翰通	24.84	3.19	3733629300.00 
SH688081	兴图新科		10.4	4210214400.00 
SH688082	盛美上海	48.71	5.05	67996136000.00 
SH688083	中望软件	376.6	3.02	8109090600.00 
SH688084	晶品特装		3.09	4864877900.00 
SH688085	三友医疗	98.16	2.95	6212406300.00 
SH688087	英科再生	24.96	2.54	7509919800.00 
SH688088	虹软科技	59.76	5.61	15400932000.00 
SH688089	嘉必优	19.33	1.84	3029564200.00 
SH688090	瑞松科技	506.3	6.69	6030396800.00 
SH688091	上海谊众	183.7	8.24	11782107500.00 
SH688092	爱科科技	46.03	3.54	2343517000.00 
SH688093	世华科技	21.37	3.06	8523636800.00 
SH688095	福昕软件	231.8	2.43	6380549200.00 
SH688096	京源环保		2.39	2034702800.00 
SH688097	博众精工	39.9	4.77	23591935000.00 
SH688098	申联生物		2.53	3543857700.00 
SH688099	晶晨股份	38.21	4.54	33356317000.00 
SH688100	威胜信息	26.83	5.05	17877673000.00 
SH688101	三达膜	13.93	1.19	5259071100.00 
SH688102	斯瑞新材	187.8	15.21	28970910000.00 
SH688103	国力电子	69.75	4.36	4924954500.00 
SH688105	诺唯赞		2.05	7775710300.00 
SH688106	金宏气体	97.78	4.24	12900097100.00 
SH688107	安路科技		12.75	12025481000.00 
SH688108	赛诺医疗	179.8	9.12	8501143700.00 
SH688109	品茗科技	217	12.75	10262113800.00 
SH688110	东芯股份		14.06	48063704000.00 
SH688111	金山办公	58.93	8.42	108225193000.00 
SH688112	鼎阳科技	42.85	3.81	6109368700.00 
SH688113	联测科技	27.15	2.46	2418128300.00 
SH688114	华大智造		2.65	20484265000.00 
SH688115	思林杰		2.09	2645465600.00 
SH688116	天奈科技	61.49	3.8	14500007000.00 
SH688117	圣诺生物	33.59	5.23	5569889800.00 
SH688118	普元信息	333.2	2.85	2487823600.00 
SH688119	中钢洛耐		2.08	5850000000.00 
SH688120	华海清科	56.69	8.23	61535446000.00 
SH688121	卓然股份	34.28	0.989	2504342100.00 
SH688122	西部超导	54.81	6.46	46067709000.00 
SH688123	聚辰股份	44.89	6.22	16320910000.00 
SH688125	安达智能		9.66	17657167000.00 
SH688126	沪硅产业		2.79	55854895000.00 
SH688127	蓝特光学	59.33	10.54	23067166000.00 
SH688128	中国电研	18.79	2.81	10007330000.00 
SH688129	东来技术	27.33	2.58	2744507100.00 
SH688130	晶华微		1.99	2463760500.00 
SH688131	皓元医药	59.33	4.67	14700925000.00 
SH688132	邦彦技术		2.04	2523893900.00 
SH688133	泰坦科技		1.17	3245985900.00 
SH688135	利扬芯片		4.54	5937009000.00 
SH688136	科兴制药	37.36	3.39	5957214600.00 
SH688137	近岸蛋白		1.39	2840701800.00 
SH688138	清溢光电	43.58	2.94	8156468000.00 
SH688139	海尔生物	39.4	2.27	9877744100.00 
SH688141	杰华特		15.15	23101499000.00 
SH688143	长盈通	310.3	5.35	7211724900.00 
SH688146	中船特气	64.93	3.91	22531765000.00 
SH688147	微导纳米	138.8	9.91	29537124000.00 
SH688148	芳源股份		8.24	4035468800.00 
SH688150	莱特光电	70.86	8.13	15578359000.00 
SH688151	华强科技	168.1	1.7	7172490000.00 
SH688152	麒麟信安		2.75	3373864100.00 
SH688153	唯捷创芯	314.9	3.52	14152995000.00 
SH688155	先惠技术	26.06	3.98	9167874900.00 
SH688156	路德科技		3.13	2384911200.00 
SH688157	松井股份	269.8	4.41	5895887400.00 
SH688158	优刻得-W		7.6	18343464000.00 
SH688159	有方科技	143.8	4.1	3679189300.00 
SH688160	步科股份	129.3	7.27	9428383000.00 
SH688161	威高骨科	45.85	2.97	12316000000.00 
SH688162	巨一科技	50.49	1.68	4085603100.00 
SH688163	赛伦生物	57.9	2.69	2994447400.00 
SH688165	埃夫特-U		7.09	8625023400.00 
SH688166	博瑞医药	376.2	8.34	20507873000.00 
SH688167	炬光科技		13.12	29203447000.00 
SH688168	安博通		5.35	5287172800.00 
SH688169	石头科技	22.86	2.22	31087582000.00 
SH688170	德龙激光	190.6	3.82	4801072000.00 
SH688171	纬德信息	323.2	4.68	3950753500.00 
SH688172	燕东微		2.95	54106726000.00 
SH688173	希荻微		3.88	5538825000.00 
SH688175	高凌信息		2.51	4332119500.00 
SH688176	亚虹医药-U		4.65	7470910000.00 
SH688177	百奥泰		24.12	8989676800.00 
SH688178	万德斯		2.61	2396939200.00 
SH688179	阿拉丁	54.19	5.74	5605469000.00 
SH688180	君实生物-U		5.93	35759608000.00 
SH688181	八亿时空	52.03	1.89	4074790800.00 
SH688182	灿勤科技	88.58	4.68	10640000000.00 
SH688183	生益电子	47.24	11.99	69590160000.00 
SH688185	康希诺	593.8	3.34	16551935000.00 
SH688186	广大特材	29.31	1.33	6285766500.00 
SH688187	时代电气	17.22	1.66	70545420000.00 
SH688188	柏楚电子	33.72	6.21	37376089000.00 
SH688189	南新制药		2.68	2099160000.00 
SH688190	云路股份	38.38	4.3	11298000000.00 
SH688191	智洋创新	155.9	11.49	10009612500.00 
SH688192	迪哲医药-U		19.32	25178481000.00 
SH688193	仁度生物	216.6	2.26	2059591300.00 
SH688195	腾景科技	495.7	35.41	34994349000.00 
SH688196	卓越新能	52.34	2.66	8904627600.00 
SH688197	首药控股-U		8.44	5737592300.00 
SH688198	佰仁医疗	68.35	10.26	13683900000.00 
SH688199	久日新材	135.2	1.45	3754982700.00 
SH688200	华峰测控	66.16	8.72	35618132000.00 
SH688201	信安世纪	53.68	3.09	4256204200.00 
SH688202	美迪西		4.27	8383576300.00 
SH688203	海正生材	262.9	1.64	2422002900.00 
SH688205	德科立	407	12.57	29124501000.00 
SH688206	概伦电子	363.2	6.67	13386070800.00 
SH688207	格灵深瞳		1.91	3591957500.00 
SH688208	道通科技	22.52	5.73	21077271000.00 
SH688209	英集芯	47.87	3.87	8493491700.00 
SH688210	统联精密		5.34	6893567400.00 
SH688211	中科微至		1.16	4027172700.00 
SH688212	澳华内镜	438.2	3.83	5023013800.00 
SH688213	思特威-W	33.19	6.36	33230540000.00 
SH688215	瑞晟智能	125.2	9.07	4416446300.00 
SH688216	气派科技		4.19	3087576800.00 
SH688217	睿昂基因		1.83	1556703800.00 
SH688218	江苏北人		3.38	2801231900.00 
SH688219	会通股份	27.92	1.91	5743320000.00 
SH688220	翱捷科技-U		5.14	28076356000.00 
SH688221	前沿生物-U		8.03	7098265500.00 
SH688222	成都先导	90.6	6.93	10329530400.00 
SH688223	晶科能源		2.55	66838827000.00 
SH688225	亚信安全		3.71	6612165300.00 
SH688226	威腾电气	252	4.68	8013520800.00 
SH688227	品高股份		5.34	6890719000.00 
SH688228	开普云		5.29	6923952900.00 
SH688229	博睿数据		10.14	3751800000.00 
SH688230	芯导科技	67.23	3.14	7137144000.00 
SH688231	隆达股份	98.21	2.67	7381028600.00 
SH688232	新点软件	196.2	1.27	6874315200.00 
SH688233	神工股份	112.4	6.07	11470091300.00 
SH688234	天岳先进		5.53	39690259000.00 
SH688235	百济神州-U	253.2	11	360060090000.00 
SH688236	春立医疗	28.23	2.58	7694384100.00 
SH688237	超卓航科	356.9	3.74	4519970400.00 
SH688238	和元生物		2.97	4355036300.00 
SH688239	航宇科技	57.96	5.38	10774409900.00 
SH688244	永信至诚		2.85	2780711200.00 
SH688246	嘉和美康		2.06	2684295000.00 
SH688247	宣泰医药	88.17	3.34	4315796800.00 
SH688248	南网科技	77.73	10.03	32713071000.00 
SH688249	晶合集成	75.21	2.43	52960269000.00 
SH688251	井松智能	111.8	4.3	3693116500.00 
SH688252	天德钰	35.8	3.48	8360396200.00 
SH688253	英诺特	33.79	2.41	4935544900.00 
SH688255	凯尔达	111.6	2.79	2944217700.00 
SH688256	寒武纪	201.3	35.02	414516520000.00 
SH688257	新锐股份	74.68	7.46	17668595000.00 
SH688258	卓易信息	157	14.31	12894379700.00 
SH688259	创耀科技	48.62	2.43	3853650000.00 
SH688260	昀冢科技		22.82	3122400000.00 
SH688261	东微半导	190.3	2.84	8382902500.00 
SH688262	国芯科技		5.61	11024157100.00 
SH688265	南模生物	98.63	1.81	3198842900.00 
SH688266	泽璟制药-U		24.21	26153169000.00 
SH688267	中触媒	22.96	1.72	4863120000.00 
SH688268	华特气体	75.93	5.41	10919670300.00 
SH688269	凯立新材	44.29	4.63	4884408500.00 
SH688270	臻镭科技	238.2	14.08	31733150000.00 
SH688271	联影医疗	48.9	4.27	92305695000.00 
SH688272	富吉瑞		7.98	3312840000.00 
SH688273	麦澜德	36.79	2.79	3755000000.00 
SH688275	万润新能		2.59	13571608000.00 
SH688276	百克生物		1.9	7305193200.00 
SH688277	天智航-U		8.78	10410298100.00 
SH688278	特宝生物	25.65	7.67	26450678000.00 
SH688279	峰岹科技	80.08	3.45	17533026000.00 
SH688280	精进电动-UW	35.14	7.64	5683834700.00 
SH688281	华秦科技	62.35	4.14	19543317000.00 
SH688282	理工导航		4.4	5602080000.00 
SH688283	坤恒顺维	100.8	4.78	4713660000.00 
SH688285	高铁电气	67.49	2.06	3473155900.00 
SH688286	敏芯股份	97.04	3.38	3630430800.00 
SH688288	鸿泉技术	103.8	4.04	3054299300.00 
SH688289	圣湘生物	52.81	1.47	10463747400.00 
SH688290	景业智能		3.8	4735471300.00 
SH688291	金橙子	109.4	4.22	4034801300.00 
SH688292	浩瀚深度		3.55	3670524400.00 
SH688293	奥浦迈	134.1	2.14	5591549100.00 
SH688295	中复神鹰	515.1	10.49	49545000000.00 
SH688296	和达科技		2.49	1491159500.00 
SH688297	中无人机	379.5	5.87	33615000000.00 
SH688298	东方生物		0.766	4596480000.00 
SH688299	长阳科技		2.46	4773596000.00 
SH688300	联瑞新材	69.36	11.91	20297900000.00 
SH688301	奕瑞科技	35.36	3.86	22982409000.00 
SH688302	海创药业-U		4.09	4358666600.00 
SH688303	大全能源		1.15	45049320000.00 
SH688305	科德数控	84	3.93	7456064600.00 
SH688306	均普智能	904.5	5.76	11029979500.00 
SH688307	中润光学	96.24	6.72	6067702900.00 
SH688308	欧科亿	119.6	4.69	12419905200.00 
SH688309	恒誉环保	129.9	6.04	4666412600.00 
SH688310	迈得医疗	38.49	2.91	2511579500.00 
SH688311	盟升电子		3.76	6506765800.00 
SH688312	燕麦科技	50.01	4.5	6868739700.00 
SH688313	仕佳光子	110.1	24.76	37600743000.00 
SH688314	康拓医疗	41.09	5.65	4055459500.00 
SH688315	诺禾致源	34.8	2.12	5781018000.00 
SH688316	青云科技-U		121.5	3318382400.00 
SH688317	之江生物		1.08	3627943000.00 
SH688318	财富趋势	85.1	6.99	26841321000.00 
SH688319	欧林生物	529.6	13.05	11789900600.00 
SH688320	禾川科技		3.72	4554572200.00 
SH688321	微芯生物	248.3	4.95	12654832600.00 
SH688322	奥比中光-UW	236.7	10.11	30085818000.00 
SH688323	瑞华泰		4.29	3668404600.00 
SH688325	赛微微电	106.9	5.72	10300503400.00 
SH688326	经纬恒润-W	136	3.06	13540135000.00 
SH688327	云从科技-UW		17.51	13096096800.00 
SH688328	深科达	131.5	3.96	3289912800.00 
SH688329	艾隆科技	97.97	2.32	1850484000.00 
SH688330	宏力达	10.33	1.5	6601000000.00 
SH688331	荣昌生物	102.4	20.11	72687765000.00 
SH688332	中科蓝讯	9.99	2.68	14144963000.00 
SH688333	铂力特	120.7	5.04	25344626000.00 
SH688334	西高院	26.83	2.29	6673495100.00 
SH688335	复洁科技	454	4.32	5013931600.00 
SH688336	三生国健	16.11	5.53	46714978000.00 
SH688337	普源精电	93.46	2.55	8045788300.00 
SH688338	赛科希德	35.87	1.81	3125893700.00 
SH688339	亿华通-U		3.12	6273076700.00 
SH688343	云天励飞-U		7.03	26826412000.00 
SH688345	博力威	69.17	3.45	3864922400.00 
SH688347	华虹公司	488.6	4.07	184015250000.00 
SH688348	昱能科技		2.64	9064091200.00 
SH688349	三一重能	39.42	2.09	28967668000.00 
SH688350	富淼科技	288.3	2.41	4112553300.00 
SH688351	微电生理	201.9	5.72	10315552000.00 
SH688352	颀中科技	53.5	2.31	14220886000.00 
SH688353	华盛锂电	1450	5.6	19219750000.00 
SH688355	明志科技	32.95	2.38	2627868700.00 
